Merchant_Category,Buyer_Category,Departments,Volume,Revenue,Transaction_Count,Average selling price,date
Very Low Volume,Low Engaged,Other,570,24.55,281,2.03,04-11-2014 00:00
Medium Volume,Super Engaged,Sports And Outdoors,20733354,751838.97,139536,148.59,24-01-2014 00:00
Unverified Merchant,Guest,"Movies, Music And Games",-196,28.6,24,-8.15,08-05-2014 00:00
Very High Volume,One-And-Done,Clothing And Shoes,142136,4403.07,275,516.86,05-04-2014 00:00
Very Low Volume,Guest,Books,839179,30726.21,17538,47.85,04-12-2014 00:00
Very High Volume,New,Books,186029680,5415390.11,2184582,85.16,24-11-2014 00:00
Very Low Volume,Medium Engaged,Automotive,5980,275.83,460,13,03-09-2014 00:00
New,Medium Engaged,Digital Games And Software,6345612,209693.26,116452,54.49,14-10-2014 00:00
Unverified Merchant,One-And-Done,Sports And Outdoors,179,5.49,1,179,01-01-2014 00:00
Medium Volume,Guest,Electronics And Computers,148447480,4642843.61,1947756,76.21,07-02-2014 00:00
Inactive Merchant,Super Engaged,Home And Garden,0,0,3,0,17-04-2014 00:00
New,Very Engaged,Books,21686591,857391.67,512584,42.31,01-10-2014 00:00
High Volume,Casual Buyer,Automotive,16435,504.01,203,80.96,07-09-2014 00:00
Very Low Volume,Casual Buyer,Other,131,6.14,886,0.15,21-12-2014 00:00
High Volume,Guest,"Movies, Music And Games",66673,2735.34,2347,28.41,18-12-2014 00:00
Very Low Volume,Guest,Other,0,0,35,0,08-07-2014 00:00
Very Low Volume,Low Engaged,Automotive,6054,280.95,462,13.1,19-08-2014 00:00
Non Merchant,Guest,"Movies, Music And Games",376001,34106.68,23243,16.18,26-05-2014 00:00
Very Low Volume,One-And-Done,Sports And Outdoors,538049,17703.15,4320,124.55,25-01-2014 00:00
New,One-And-Done,Home And Garden,669951,15759.33,8085,82.86,23-03-2014 00:00
Inactive Merchant,Medium Engaged,"Movies, Music And Games",12791,587.37,387,33.05,11-07-2014 00:00
Inactive Merchant,Low Engaged,"Movies, Music And Games",28653,979.22,528,54.27,05-05-2014 00:00
